#1
double t_data(1345,15)  # storm weather influent data"t"	"S.O2"	"S.I"	"S.S"	"S.NH"	"S.N2"	"S.NO"	"S.ALK"	"X.I"	"X.S"	"X.H"	"X.STO"	"X.A"	"X.SS"	"Q"
2.020833333	0	30	61.71973	31.04771	0	0	7	52.899	229.84	31.415	0	0	235.6155	19118
2.03125	0	30	62.16018	31.67387	0	0	7	52.252	230.443	31.41	0	0	235.57875	18847
2.041666667	0	30	64.57526	33.15925	0	0	7	50.484	226.872	30.817	0	0	231.12975	18509
2.052083333	0	30	67.84871	35.11773	0	0	7	48.16	224.191	30.261	0	0	226.959	17886
2.0625	0	30	72.14054	37.86587	0	0	7	46.299	221.091	29.71	0	0	222.825	17445
2.072916667	0	30	72.47069	37.86587	0	0	7	43.994	217.463	29.051	0	0	217.881	16858
2.083333333	0	30	69.7643	36.8501	0	0	7	43.274	223.73	29.667	0	0	222.50325	16116
2.09375	0	30	67.49915	36.47441	0	0	7	41.902	215.441	28.594	0	0	214.45275	16206
2.104166667	0	30	62.83833	34.38721	0	0	7	39.874	208.064	27.549	0	0	206.61525	15965
2.114583333	0	30	62.24019	34.67942	0	0	7	35.792	205.128	26.769	0	0	200.76675	14494
2.125	0	30	53.74197	32.06695	0	0	7	32.732	201.669	26.044	0	0	195.33375	13423
2.135416667	0	30	54.44886	29.89975	0	0	7	29.916	194.545	24.94	0	0	187.05075	12660
2.145833333	0	30	50.06769	27.06813	0	0	7	27.359	185.932	23.699	0	0	177.7425	12059
2.15625	0	30	46.35457	24.70265	0	0	7	24.894	177.134	22.448	0	0	168.357	11453
2.166666667	0	30	44.35819	23.38772	0	0	7	24.547	166.528	21.231	0	0	159.2295	12083
2.177083333	0	30	42.57931	22.19802	0	0	7	22.366	157.921	20.032	0	0	150.23925	11554
2.1875	0	30	40.00033	20.31607	0	0	7	21.945	151.216	19.24	0	0	144.30075	11875
2.197916667	0	30	40.38873	20.54218	0	0	7	22.652	142.754	18.378	0	0	137.838	13101
2.208333333	0	30	40.77713	20.71611	0	0	7	20.837	138.863	17.744	0	0	133.083	12323
2.21875	0	30	40.46641	20.7509	0	0	7	21.873	136.2	17.564	0	0	131.72775	13271
2.229166667	0	30	40.83539	20.66393	0	0	7	21.762	132.325	17.121	0	0	128.406	13614
2.239583333	0	30	40.46641	20.61175	0	0	7	21.632	131.628	17.029	0	0	127.71675	13604
2.25	0	30	40.50525	20.54218	0	0	7	20.064	133.141	17.023	0	0	127.671	12382
2.260416667	0	30	40.52467	20.43782	0	0	7	20.063	132.876	16.993	0	0	127.449	12408
2.270833333	0	30	40.31105	20.40303	0	0	7	18.792	130.547	16.593	0	0	124.449	11767
2.28125	0	30	40.11685	20.15953	0	0	7	18.741	127.865	16.29	0	0	122.172	12006
