#1
double t_data(1345,16)	#t	S.O2	S.I	S.S	S.NH	S.N2	S.NO	S.ALK	X.I	X.S	X.H	X.A	X.STO	X.SS	d1$S.P	Q
2.26	0	30	40.52	20.44	0	0	7	20.06	132.9	16.99	0	0	127.4	5.61254083333333	12410
2.271	0	30	40.31	20.4	0	0	7	18.79	130.5	16.59	0	0	124.4	5.57934	11770
2.281	0	30	40.12	20.16	0	0	7	18.74	127.9	16.29	0	0	122.2	5.533365	12010
2.292	0	30	40.05	20.03	0	0	7	17.99	124.6	15.85	0	0	118.9	5.50260583333333	11810
2.302	0	30	40.34	20	0	0	7	17.84	122.2	15.56	0	0	116.7	5.51588583333333	11950
2.313	0	30	40.58	20.1	0	0	7	17.9	119.4	15.25	0	0	114.4	5.53469333333333	12320
2.323	0	30	40.89	20.4	0	0	7	18.22	117.1	15.03	0	0	112.7	5.57897333333333	12830
2.333	0	30	41.17	20.82	0	0	7	18.09	116.4	14.95	0	0	112.1	5.63375	12800
2.344	0	30	41.86	21.17	0	0	7	17.94	117.1	15.01	0	0	112.6	5.72299916666667	12600
2.354	0	30	42.42	21.61	0	0	7	18.88	116.5	15.04	0	0	112.8	5.80754583333333	13410
2.365	0	30	43.95	22.14	0	0	7	19.44	115.5	15	0	0	112.5	5.97674083333333	13950
2.375	0	30	48.77	24.68	0	0	7	23.46	113.4	15.21	0	0	114	6.5977575	17240
2.385	0	30	59.89	29.66	0	0	7	23.95	115.8	15.53	0	0	116.5	7.94839416666667	17230
2.396	0	30	71.46	34.25	0	0	7	30.86	116.5	16.37	0	0	122.8	9.32190916666667	21800
2.406	0	30	80.01	37.94	0	0	7	37.61	119.4	17.44	0	0	130.8	10.3748425	25420
2.417	0	30	94.9	43.4	0	0	7	41.55	135.8	19.71	0	0	147.8	12.1423158333333	24780
2.427	0	30	105.8	46.61	0	0	7	51.38	152.9	22.7	0	0	170.3	13.4104816666667	26840
2.438	0	30	115.2	49.25	0	0	7	59.83	165.6	25.04	0	0	187.8	14.4894516666667	28520
2.448	0	30	120	50	0	0	7	70.93	179.1	27.78	0	0	208.4	15.0379508333333	30710
2.458	0	30	119	49.25	0	0	7	79.07	197.3	30.71	0	0	230.3	14.9800933333333	31000
2.469	0	30	112.1	45.74	0	0	7	86.77	216.4	33.69	0	0	252.7	14.2097033333333	31010
2.479	0	30	102.5	40.86	0	0	7	92.68	234	36.29	0	0	272.2	13.0797341666667	30710
2.49	0	30	94.81	39.03	0	0	7	87.82	258.5	38.48	0	0	288.6	12.359435	27090
2.5	0	30	88.38	36.85	0	0	7	87.88	273.9	40.2	0	0	301.5	11.6952258333333	25810
2.51	0	30	81.29	34.25	0	0	7	88.66	276.4	40.57	0	0	304.3	10.8988725	25810
2.521	0	30	75.77	32.16	0	0	7	85.23	279	40.47	0	0	303.5	10.2622483333333	24750
2.531	0	30	70.37	30.78	0	0	7	84.59	277.8	40.27	0	0	302	9.69093083333333	24680
2.542	0	30	68.28	29.8	0	0	7	74.79	283.1	39.76	0	0	298.2	9.41827833333333	21750
