#1
double t_data(1345,16)	# t	S.I	S.S	X.I	X.S	X.H	X.A	X.P	S.O2	S.NO	S.NH	S.ND	X.ND	S.ALK	S.P	Q
8.052083333	30	67.84871	80.8316455696202	283.229113924051	40.4506329113924	0	0	0	0	35.11773	6.78487	15.2075949367089	7	9.84783624472574	23310
8.0625	30	72.14054	81.3721518987342	287.217721518987	40.9544303797468	0	0	0	0	37.86587	7.21405	15.3962025316456	7	10.4502177109705	23158
8.072916667	30	72.47069	52.5189873417722	288.969620253165	37.9430379746835	0	0	0	0	37.86587	7.24707	14.2645569620253	7	10.3834264135021	15122
8.083333333	30	69.7643	50.2139240506329	272.846835443038	35.8962025316456	0	0	0	0	36.8501	6.97643	13.4949367088608	7	10.0091113924051	15319
8.09375	30	67.49915	48.0658227848101	260.786075949367	34.3164556962025	0	0	0	0	36.47441	6.74992	12.9012658227848	7	9.7395688185654	15342
8.104166667	30	62.83833	44.4645569620253	250.578481012658	32.7822784810127	0	0	0	0	34.38721	6.28383	12.3240506329114	7	9.12913255274262	14751
8.114583333	30	62.24019	41.4075949367089	240.6	31.3341772151899	0	0	0	0	34.67942	6.22402	11.779746835443	7	9.05827973628692	14287
8.125	30	53.74197	35.3670886075949	233.051898734177	29.8240506329114	0	0	0	0	32.06695	5.3742	11.2126582278481	7	8.08513151898734	12478
8.135416667	30	54.44886	33.4	220.106329113924	28.1670886075949	0	0	0	0	29.89975	5.44489	10.5898734177215	7	7.91154028481013	12477
8.145833333	30	50.06769	29.0329113924051	208.292405063291	26.3696202531646	0	0	0	0	27.06813	5.00677	9.91392405063291	7	7.25414533755274	11347
8.15625	30	46.35457	26.7126582278481	196.354430379747	24.7848101265823	0	0	0	0	24.70265	4.63546	9.31772151898734	7	6.69791179324895	11037
8.166666667	30	44.35819	24.0759493670886	185.172151898734	23.2493670886076	0	0	0	0	23.38772	4.43582	8.74050632911392	7	6.37386802742616	10473
8.177083333	30	42.57931	21.7886075949367	174.307594936709	21.7886075949367	0	0	0	0	22.19802	4.25793	8.19113924050633	7	6.08070577004219	10000
8.1875	30	40.00033	23.0113924050633	166.236708860759	21.0278481012658	0	0	0	0	20.31607	4.00003	7.90506329113924	7	5.68512194092827	11258
8.197916667	30	40.38873	20.6784810126582	159.539240506329	20.0240506329114	0	0	0	0	20.54218	4.03887	7.52784810126582	7	5.70489650843882	10436
8.208333333	30	40.77713	20.7759493670886	153.456962025316	19.3594936708861	0	0	0	0	20.71611	4.07771	7.27848101265823	7	5.73097675105485	10976
8.21875	30	40.46641	20.626582278481	149.103797468354	18.8594936708861	0	0	0	0	20.7509	4.04664	7.08987341772152	7	5.69226528481013	11250
8.229166667	30	40.83539	21	146.181012658228	18.5759493670886	0	0	0	0	20.66393	4.08354	6.98354430379747	7	5.70690535864979	11740
8.239583333	30	40.46641	20.373417721519	143.764556962025	18.2379746835443	0	0	0	0	20.61175	4.04664	6.85569620253165	7	5.6611546835443	11562
8.25	30	40.50525	21.0215189873418	142.179746835443	18.1329113924051	0	0	0	0	20.54218	4.05053	6.81645569620253	7	5.65532380801688	12124
8.260416667	30	40.52467	21.6949367088608	141.924050632911	18.179746835443	0	0	0	0	20.43782	4.05247	6.83417721518987	7	5.64972226793249	12578
8.270833333	30	40.31105	19.6544303797468	140.437974683544	17.7886075949367	0	0	0	0	20.40303	4.03111	6.6873417721519	7	5.61678514767933	11399
8.28125	30	40.11685	19.3949367088608	138.06582278481	17.4962025316456	0	0	0	0	20.15953	4.01169	6.57721518987342	7	5.57113293248945	11448
8.291666667	30	40.04693	20.2139240506329	137.06582278481	17.4759493670886	0	0	0	0	20.02734	4.00469	6.56962025316456	7	5.55365752109705	12090
8.302083333	30	40.34212	20.7607594936709	137.289873417722	17.5607594936709	0	0	0	0	19.99951	4.03421	6.60253164556962	7	5.5786801371308	12429
8.3125	30	40.58293	19.2455696202532	136.450632911392	17.3	0	0	0	0	20.10039	4.05829	6.50379746835443	7	5.5989264556962	11500
