#1
double t_data(1344,16)	#"t"	"S.I"	"S.S"	"X.I"	"X.S"	"X.H"	"X.A"	"X.P"	"S.O2"	"S.NO"	"S.NH"	"S.ND"	"X.ND"	"S.ALK"	"S.P"	"Qstrm"
5.03125	30	62.16018	44.1189873417721	232.494936708861	30.7354430379747	0	0	0	0	31.67387	6.21602	11.5544936708861	7	8.78237863924051	15806
5.041666667	30	64.57526	43.873417721519	234.049367088608	30.879746835443	0	0	0	0	33.15925	6.45753	11.6091139240506	7	9.11196866033755	15610
5.052083333	30	67.84871	43.6316455696203	238.167088607595	31.3113924050633	0	0	0	0	35.11773	6.78487	11.7710632911392	7	9.56145860759493	15247
5.0625	30	72.14054	43.426582278481	240.988607594937	31.6012658227848	0	0	0	0	37.86587	7.21405	11.8803164556962	7	10.1572272046413	14989
5.072916667	30	72.47069	40.3050632911392	228.689873417721	29.8886075949367	0	0	0	0	37.86587	7.24707	11.2362278481013	7	10.1310656540084	14647
5.083333333	30	69.7643	37.7987341772152	220.713924050633	28.7240506329114	0	0	0	0	36.8501	6.97643	10.7983670886076	7	9.78439725738397	14212
5.09375	30	67.49915	36.7291139240506	213.70253164557	27.8253164556962	0	0	0	0	36.47441	6.74992	10.4607848101266	7	9.53619540084388	14266
5.104166667	30	62.83833	35.293670886076	207.279746835443	26.953164556962	0	0	0	0	34.38721	6.28383	10.132582278481	7	8.94651018987342	14126
5.114583333	30	62.24019	32.5253164556962	202.630379746835	26.1278481012658	0	0	0	0	34.67942	6.22402	9.8226835443038	7	8.89519112869198	13264
5.125	30	53.74197	30.2645569620253	197.149367088608	25.2683544303797	0	0	0	0	32.06695	5.3742	9.49932911392405	7	7.942354092827	12636
5.135416667	30	54.44886	28.3164556962025	190.598734177215	24.3240506329114	0	0	0	0	29.89975	5.44489	9.14432911392405	7	7.79107825949367	12189
5.145833333	30	50.06769	26.5075949367089	183.177215189873	23.2987341772152	0	0	0	0	27.06813	5.00677	8.75878481012658	7	7.15788373417722	11836
5.15625	30	46.35457	24.8810126582278	176.667088607595	22.3936708860759	0	0	0	0	24.70265	4.63546	8.41886075949367	7	6.62300672995781	11481
5.166666667	30	44.35819	24.5050632911392	169.154430379747	21.5177215189873	0	0	0	0	23.38772	4.43582	8.0893670886076	7	6.31960642405063	11851
5.177083333	30	42.57931	23.0721518987342	163.074683544304	20.6822784810127	0	0	0	0	22.19802	4.25793	7.77553164556962	7	6.04607180379747	11540
5.1875	30	40.00033	22.8746835443038	159.362025316456	20.2481012658228	0	0	0	0	20.31607	4.00003	7.61221518987342	7	5.66071793248945	11729
5.197916667	30	40.38873	23.2911392405063	153.783544303797	19.6746835443038	0	0	0	0	20.54218	4.03887	7.39659493670886	7	5.69395874472574	12450
5.208333333	30	40.77713	22.179746835443	151.473417721519	19.2949367088608	0	0	0	0	20.71611	4.07771	7.2536835443038	7	5.72891029535865	11994
5.21875	30	40.46641	22.646835443038	148.43164556962	19.0088607594937	0	0	0	0	20.7509	4.04664	7.14613924050633	7	5.69695410337553	12552
5.229166667	30	40.83539	22.7405063291139	146.881012658228	18.846835443038	0	0	0	0	20.66393	4.08354	7.08527848101266	7	5.71538320675106	12755
5.239583333	30	40.46641	22.4987341772152	145.382278481013	18.653164556962	0	0	0	0	20.61175	4.04664	7.01255696202532	7	5.67422641350211	12749
5.25	30	40.50525	21.4240506329114	145.921518987342	18.5936708860759	0	0	0	0	20.54218	4.05053	6.99020253164557	7	5.66980271097046	12030
5.260416667	30	40.52467	21.4784810126582	146.110126582278	18.620253164557	0	0	0	0	20.43782	4.05247	7.00032911392405	7	5.66356825949367	12046
5.270833333	30	40.31105	20.6987341772152	144.869620253165	18.3962025316456	0	0	0	0	20.40303	4.03111	6.91596202531646	7	5.63583683544304	11668
5.28125	30	40.11685	20.7025316455696	143.356962025316	18.2291139240506	0	0	0	0	20.15953	4.01169	6.85294936708861	7	5.59411078059072	11810
5.291666667	30	40.04693	20.5291139240506	143.429113924051	18.2177215189873	0	0	0	0	20.02734	4.00469	6.84872151898734	7	5.57691595991561	11692
5.302083333	30	40.34212	20.7025316455696	143.69746835443	18.2670886075949	0	0	0	0	19.99951	4.03421	6.86718987341772	7	5.60073498945148	11778
5.3125	30	40.58293	20.826582278481	142.224050632911	18.1164556962025	0	0	0	0	20.10039	4.05829	6.81079746835443	7	5.62450978902954	11994
5.322916667	30	40.89365	21.1481012658228	141.240506329114	18.0430379746835	0	0	0	0	20.40303	4.08937	6.78313924050633	7	5.67331827004219	12294
5.333333333	30	41.16553	21.0632911392405	140.826582278481	17.9873417721519	0	0	0	0	20.82047	4.11655	6.76230379746835	7	5.7290253164557	12280
5.34375	30	41.86465	20.7898734177215	140.207594936709	17.8886075949367	0	0	0	0	21.16834	4.18647	6.72503797468354	7	5.81316899789029	12162
5.354166667	30	42.42395	21.6569620253165	141.043037974684	18.0772151898734	0	0	0	0	21.6136	4.2424	6.79613924050633	7	5.90280743670886	12640
5.364583333	30	43.94649	22.146835443038	140.944303797468	18.1215189873418	0	0	0	0	22.1354	4.39465	6.81250632911392	7	6.07453302742616	12962
